pre	post	type	synapses
ADAL	ADFL	electrical	2
ADAL	AIBR	chemical	1
ADAL	ASHL	electrical	6
ADAL	AVAL	chemical	2
ADAL	AVAR	chemical	1
ADAL	AVBL	chemical	8
ADAL	AVBR	chemical	5
ADAL	AVDR	electrical	6
ADAL	AVER	chemical	1
ADAL	AVJL	chemical	1
ADAL	AVJR	chemical	2
ADAL	PVQL	electrical	4
ADAL	RICL	chemical	1
ADAL	RICR	chemical	1
ADAL	RIML	chemical	5
ADAL	RIPL	chemical	3
ADAR	ADAL	electrical	2
ADAR	ADFR	electrical	2
ADAR	AIBL	chemical	1
ADAR	ASHR	chemical	1
ADAR	ASHR	electrical	6
ADAR	AVAL	chemical	2
ADAR	AVAR	chemical	1
ADAR	AVBL	chemical	3
ADAR	AVBR	chemical	8
ADAR	AVDL	electrical	4
ADAR	AVDR	electrical	2
ADAR	AVEL	chemical	1
ADAR	AVJL	chemical	4
ADAR	RIMR	chemical	3
ADAR	RIPR	chemical	4
ADAR	SMDDR	chemical	1
ADEL	ADER	chemical	2
ADEL	AVAL	chemical	2
ADEL	AVAR	chemical	1
ADEL	AVDL	chemical	3
ADEL	AVEL	chemical	1
ADEL	BDUL	chemical	1
ADEL	FLPL	chemical	2
ADEL	OLLL	chemical	2
ADEL	PVR	chemical	1
ADEL	RIFL	chemical	1
ADEL	RIGL	chemical	6
ADEL	RIGR	chemical	7
ADEL	RIVL	chemical	1
ADEL	RMDL	chemical	1
ADEL	RMDR	chemical	1
ADEL	SIBDR	chemical	1
ADER	ADAR	chemical	2
ADER	ADEL	chemical	1
ADER	ALMR	chemical	1
ADER	AVAL	chemical	3
ADER	AVAR	chemical	1
ADER	AVDR	chemical	1
ADER	AVER	chemical	1
ADER	BDUR	chemical	1
ADER	CEPDR	chemical	1
ADER	PVR	chemical	1
ADER	RIFR	chemical	1
ADER	RIGL	chemical	7
ADER	RIGR	chemical	1
ADER	RIVR	chemical	1
ADER	RMDDL	chemical	1
ADER	RMDR	chemical	1
ADER	RMHL	chemical	2
ADER	SDQR	chemical	1
ADER	SIAVR	chemical	1
ADFL	AIYL	chemical	1
ADFL	AIZL	chemical	6
ADFL	AUAL	chemical	4
ADFL	AVHR	chemical	2
ADFL	RIAL	chemical	14
ADFL	RIGL	chemical	2
ADFL	RIR	chemical	1
ADFL	SIBVL	chemical	1
ADFL	SMBDL	chemical	2
ADFL	SMBVL	chemical	5
ADFR	ADFL	electrical	2
ADFR	AIZL	chemical	2
ADFR	AIZR	chemical	10
ADFR	ASEL	chemical	1
ADFR	AUAR	chemical	4
ADFR	AVHL	chemical	1
ADFR	RIAR	chemical	15
ADFR	SMBVR	chemical	6
ADFR	URXR	chemical	1
ADLL	ADLR	electrical	2
ADLL	AIAL	chemical	4
ADLL	AIBL	chemical	8
ADLL	ASEL	chemical	2
ADLL	ASKL	chemical	1
ADLL	AVAR	chemical	3
ADLL	AVDL	chemical	2
ADLL	AVDR	chemical	5
ADLL	AVHL	chemical	2
ADLL	AWBL	chemical	1
